id,score
"33456","-1"
"33459","3"
"33460","9"
"33491","-10"
"33507","1"
"33559","2"
"33565","18"
"33585","6"
"33603","1"
"33604","46"
"33627","5"
"33637","2"
"33641","2"
"33648","10"
"33663","2"
"33698","6"
"33722","3"
"33811","48"
"33822","-3"
"33830","13"
"33834","12"
"33844","4"
"33871","1"
"33900","13"
"33909","12"
"33950","2"
"33990","2"
"34003","0"
"34022","1"
"34039","12"
"34042","2"
"34130","5"
"34142","7"
"34159","3"
"34205","2"
"34207","2"
"34241","1"
"34255","3"
"34271","7"
"34282","1"
"34298","7"
"34326","19"
"34337","4"
"34339","7"
"34343","6"
"34350","6"
"34368","1"
"34397","8"
"34419","27"
"34440","3"
"34519","0"
"34542","8"
"34577","2"
"34599","2"
"34661","2"
"34674","4"
"34687","29"
"34698","5"
"34707","4"
"34718","6"
"34782","5"
"34810","0"
"34871","11"
"34904","8"
"34913","9"
"34952","8"
"34955","5"
"34961","5"
"34962","-3"
"34965","7"
"34988","1"
"34992","8"
"35015","10"
"35053","5"
"35089","6"
"35144","5"
"35222","1"
"35239","2"
"35254","3"
"35261","5"
"35264","19"
"35307","10"
"35387","3"
"35441","6"
"35450","3"
"35492","36"
"35495","3"
"35542","1"
"35556","4"
"35571","13"
"35572","3"
"35611","-9"
"35635","18"
"35704","-15"
"35720","3"
"35735","3"
"35741","3"
"35756","18"
"35776","11"
"35791","0"
"35831","27"
"35880","13"
"35891","2"
"35924","6"
"35977","15"
"35998","12"
"36001","20"
"36047","5"
"36073","0"
"36117","11"
"36128","7"
"36143","3"
"36156","5"
"36158","6"
"36172","5"
"36263","-1"
"36267","5"
"36272","5"
"36313","1"
"36331","20"
"36355","7"
"36363","9"
"36406","12"
"36418","6"
"36427","6"
"36458","2"
"36462","10"
"36468","31"
"36517","4"
"36580","5"
"36598","6"
"36609","21"
"36618","33"
"36629","22"
"36671","18"
"36726","2"
"36735","-1"
"36754","30"
"36774","4"
"36804","4"
"36807","-1"
"36831","5"
"36873","10"
"36909","7"
"36948","6"
"36986","24"
"37036","6"
"37049","2"
"37121","4"
"37147","2"
"37165","3"
"37169","-1"
"37175","3"
"37183","-4"
"37196","0"
"37208","3"
"37243","1"
"37246","2"
