id,ncomments
"61969","8"
"61991","2"
"61992","2"
"62141","1"
"62240","0"
"62390","0"
"62540","5"
"62595","3"
"62759","0"
"62767","0"
"62817","2"
"62869","0"
"62891","1"
"62893","0"
"63004","0"
"63005","0"
"63087","0"
"63204","2"
"63228","0"
"63288","0"
"63346","2"
"63356","0"
"63378","1"
"63429","4"
"63560","1"
"63592","0"
"63599","0"
"63705","1"
"63779","3"
"63785","3"
"63845","4"
"63849","3"
"63866","1"
"63893","0"
"63924","0"
"63947","3"
"64221","0"
"64230","0"
"64295","2"
"64310","1"
"64363","1"
"64428","8"
"64455","0"
"64539","1"
"64644","0"
"64670","4"
"64801","0"
"64812","0"
"64925","1"
"64934","4"
"65019","0"
"65090","0"
"65230","3"
"65246","2"
"65280","0"
"65361","4"
"65443","0"
"65475","1"
"65614","4"
"65636","0"
"65637","8"
"65721","1"
"65729","3"
"65883","3"
"65968","0"
"65989","0"
"66001","1"
"66024","2"
"66033","3"
"66070","0"
"66099","1"
"66137","1"
"66231","0"
"66414","1"
"66490","12"
"66500","2"
"66615","1"
"66699","2"
"66713","3"
"66728","1"
"66771","4"
"66773","0"
"66832","1"
"66849","0"
"67057","1"
"67066","3"
"67077","0"
"67213","1"
"67241","1"
"67242","0"
"67504","0"
"67623","2"
"67686","0"
"67692","0"
"67778","0"
"67782","3"
"67855","0"
"67961","0"
"67972","1"
"68008","0"
"68073","2"
"68148","5"
"68156","0"
"68181","1"
"68189","5"
"68198","5"
"68208","1"
"68321","6"
"68395","0"
"68472","8"
"68552","1"
"68558","4"
"68701","2"
"68778","1"
"68805","2"
"68864","0"
"68994","0"
"69084","0"
"69102","3"
"69173","1"
"69181","1"
"69279","0"
"69424","2"
"70589","12"
"70638","4"
"70719","1"
"70785","0"
"70801","0"
"70871","2"
"70921","10"
"70973","4"
"71049","1"
"71126","2"
"71139","0"
"71141","0"
"71176","3"
"71424","1"
"71474","11"
"71498","1"
"71558","1"
"71627","2"
"71694","8"
"71753","1"
"71868","1"
"71930","1"
"71969","2"
"72005","0"
"72231","0"
"72324","5"
"72382","6"
"72485","0"
"72624","0"
"72636","0"
"72638","5"
"72640","2"
"72742","1"
"72780","0"
"72940","0"
"72954","1"
"72978","5"
"73095","9"
"73202","1"
"73243","0"
"73389","1"
"73538","3"
"73540","0"
"73605","0"
"73676","0"
"74011","2"
"74134","0"
"74149","2"
"74182","3"
"74390","9"
"74432","0"
"74470","0"
"74524","3"
"74538","5"
"74558","3"
"74729","5"
"75738","7"
"75810","8"
"75837","1"
"75873","3"
"75918","2"
"76108","3"
"76261","1"
"76278","1"
"76298","0"
"76436","0"
"76507","4"
"76552","4"
"76554","1"
"76606","1"
"76619","2"
"76677","0"
"76699","2"
"76706","6"
"76781","4"
"76791","4"
"76809","4"
"76863","1"
"76879","2"
"76883","0"
"76889","1"
"76928","0"
"77061","10"
"77088","0"
"77137","1"
"77200","0"
"77246","6"
"77410","1"
"77415","0"
"77424","0"
"77518","2"
"78688","6"
"78823","2"
"78841","0"
"78843","0"
"78928","5"
"79023","0"
"79113","0"
"79125","4"
"79179","0"
"79197","0"
"79231","1"
"79326","2"
"79352","5"
"79394","8"
"79421","4"
"79602","3"
"79603","1"
"79652","3"
"79747","0"
"79789","5"
"79828","3"
"79835","0"
"79850","1"
"79868","3"
"79884","0"
"80131","0"
"80225","0"
"80263","0"
"80417","2"
"80478","3"
"80485","0"
"80488","4"
"80510","5"
"80522","2"
"80523","0"
"80586","0"
"80589","1"
"80622","0"
"80663","0"
"80723","5"
"80755","1"
"80822","0"
"80837","13"
"80861","5"
"80863","4"
"80871","7"
"81062","4"
"81070","0"
"81132","8"
"81157","0"
"81166","7"
"81192","0"
"81262","4"
"81319","0"
"81336","13"
"81345","1"
"81355","0"
"81454","0"
"81474","0"
"81486","5"
"81586","1"
"81612","0"
"81625","2"
"81639","3"
"81677","5"
"81693","0"
"81699","2"
"81763","11"
"81769","1"
"81815","7"
"81994","0"
"82035","13"
"82092","5"
"82104","0"
"82112","1"
"82273","3"
"82366","2"
"82559","0"
"82586","1"
"82604","4"
"82688","2"
"82716","0"
"82752","0"
"82766","0"
"82828","0"
"82831","0"
"82943","0"
"82945","4"
"82958","4"
"82961","3"
"82964","4"
"83015","5"
"83017","3"
"83028","3"
"83049","0"
"83092","0"
"83137","6"
"83151","3"
"83268","0"
"83358","2"
"83409","4"
"83433","1"
"83534","8"
"83568","7"
"83660","1"
"83726","0"
"83728","1"
"84092","0"
"84139","2"
"84266","1"
"84294","0"
"84302","0"
"84325","0"
"84339","3"
"84361","0"
"84380","3"
"84486","0"
"84491","0"
"84530","0"
"84569","4"
"84737","7"
"84767","1"
"84786","0"
"84793","0"
"84807","4"
"84875","4"
"84919","0"
"84933","3"
"85018","3"
"85044","3"
"85089","0"
"85105","10"
"85132","6"
"85411","5"
"85459","6"
"85483","4"
"85497","4"
"85560","5"
"85581","0"
"85710","0"
"85914","2"
"86046","0"
"86132","0"
"86139","3"
"86158","0"
"86161","5"
"86182","3"
"86186","11"
"86194","2"
"86201","0"
"86234","3"
"86327","2"
"86366","3"
"86395","1"
"86456","0"
"86515","3"
