Id,ParentId,OwnerUserId
"167166","167165","1599"
"167174","167165","20133"
"167181","167165","4761"
"167182","167165","16084"
"167189","167165","12725"
"167197","167165","23030"
"167201","167199","1599"
"167209","167199","2811"
"167214","167165","1078"
"167215","167165","14788"
"167216","167199","1353085"
"167217","167199","23283"
"167221","167199","13744"
"167225","167199","7136"
"167229","167199","14788"
"167237","167199","1078"
"167243","167199","13635"
"167272","167199","14148"
"167322","167199","24873"
"167329","167165","15416"
"167341","167165","3886"
"167368","167199","22564"
"169088","169058","12711"
"169113","169058","11834"
"169188","169058","13676"
"170032","170028","5274"
"170040","170028","23354"
"170429","170415","24181"
"170444","170415","21284"
"170447","170415","17516"
"170453","170415","10141"
"170474","170415","413049"
"170889","169058","7224"
"170901","149848","25163"
"171134","169058","23524"
"172126","172125","6061"
"172128","172125","23113"
"172210","172125","4556"
"172243","172125","23233"
"172270","172125","23233"
"172317","172125","23233"
"175338","172125","25560"
"176206","176195","4418"
"176218","176195","12253"
"176220","176195","6232"
"176221","176195","1215"
"178322","178320","11682"
"178323","178320","17121"
"178324","178320","17832"
"178335","178320","24927"
"178371","178320","22114"
"178448","178320","6629"
"182579","182542","7488"
"182580","182542","20553"
"182582","182542","15360"
"182585","182542","15393"
"182599","182542","854"
"183145","178320","26160"
"185225","185210","15858"
"185249","185210","13935"
"185267","185210","12711"
"185335","185210","21945"
"185345","185210","17871"
"185402","185210","10661"
"186110","186106","8454"
"186129","129677","8454"
"186130","186106","5190"
"186161","186106","19463"
"186184","186106","6521"
"188863","71756","10080"
"188973","188870","13279"
"188984","188870","3043"
"189328","67174","20310"
"189778","187761","1553"
"191910","161315","26056"
"195373","45627","11287"
"195417","45627","18687"
"195662","195648","26829"
"195670","195648","5190"
"195671","195648","23283"
"195677","195648","1902010"
"195687","195648","12870"
"195703","195648","27009"
"195712","195648","22003"
"196853","196845","18771"
"196863","196845",""
"196922","196845","18187"
"198074","195648","20486"
"198208","195648","8127"
"198468","198462","17964"
"198473","198462","18893"
"198476","198462","22674"
"198480","198462","2025"
"198487","198462","26210"
"198489","198462","27340"
"198492","198462","23883"
"198565","198462","14444"
"198665","198650","27204"
"198667","198462","1100"
"198686","198650","27009"
"198844","198462","27600"
"198866","198462","27603"
"198896","198520","12030"
"199070","198650","20860"
"199192","196845","1155"
"200548","200545","227"
"200558","200545","18745"
"200559","200545","984"
"200563","200545","18745"
"200567","200545","15862"
"200572","200545","12870"
"200865","200822","1100"
"200943","200822","25771"
"202465","198462","13447"
"203769","203758","15055"
"203933","203758","5114"
"204965","198520","5049"
"205924","205923","4960"
"205929","205923","4418"
