id,activity_time
"16806","11219"
"16903","1778628"
"16958","1819"
"16980","130733"
"17066","223"
"17067","849640"
"17075","378"
"17095","10182"
"17172","48"
"17179","381938"
"17187","254778"
"17234","899591"
"17316","8185"
"17393","2445917"
"17399","345563"
"17407","14839"
"17412","745103"
"17430","315893"
"17448","261430"
"17491","6290"
"17510","71"
"17516","1847769"
"17524","698"
"17551","385749"
"17562","80353"
"17565","3292"
"17593","56"
"17598","2113"
"17632","189930"
"17635","379"
"17698","2324693"
"17720","774359"
"17721","90"
"17755","59"
"17847","3739960"
"17852","2942771"
"17862","68"
"17899","2984416"
"17930","2986207"
"17932","100"
"17965","567"
"17998","52"
"18007","982"
"18011","35"
"18018","13"
"18022","8735"
"18035","2369874"
"18043","70829"
"18061","17"
"18077","1282534"
"18086","2306122"
"18087","3489499"
"18124","602"
"18133","472530"
"18154","67"
"18162","1988741"
"18167","944"
"18168","7177"
"18185","15"
"18195","37"
"18207","12712"
"18217","799"
"18275","34697"
"18310","5586"
"18327","165190"
"18330","6417"
"18347","2047244"
"18398","76"
"18494","95685"
"18505","79203"
"18533","2435"
"18563","62"
"18608","122"
"18663","1401"
"18680","156"
"18694","3185420"
"18720","356048"
"18739","278"
"18819","663947"
"18936","74"
"18978","160224"
"19007","559076"
"19033","141506"
"19128","2007461"
"19147","60472"
"19152","514"
"19176","70321"
"19193","598"
"19214","7102"
"19276","1465668"
"19290","1579"
"19302","55167"
"19309","980"
"19319","2692326"
"19373","1501599"
"19387","2435"
"19419","1805604"
"19436","19907"
"19448","21"
"19457","1760"
"19469","27"
"19471","122275"
"19524","3927396"
"19526","308"
"19565","426361"
"19567","775230"
"19631","2240"
"19644","77"
"19694","1799387"
"19698","2393"
"19714","962"
"19718","247"
"19749","214557"
"19751","1353318"
"19756","633"
"19778","414"
"19790","861"
"19864","4757"
"19868","3619"
"19872","90"
"19911","546205"
"19949","4008150"
"19980","2742136"
"19988","441034"
"20004","62177"
"20015","2439"
"20022","24672"
"20045","201"
"20095","2891361"
"20105","3013391"
"20108","665945"
"20135","2892970"
"20140","993571"
"20147","2073203"
"20163","1174"
"20166","1167"
"20168","538"
"20187","2549044"
"20201","42"
"20209","48"
"20216","6069"
"20224","15750"
"20242","4050967"
"20261","2599"
"20371","13446"
"20395","32"
"20402","1129"
"20404","898511"
"20406","457516"
"20413","2709412"
"20422","2703285"
"20438","34"
"20481","4088"
"20497","1834328"
"20521","403"
"20525","812"
"20530","19083"
"20558","1386"
"20645","1298"
"20659","22300"
"20661","885502"
"20684","771"
"20693","139"
"20696","199"
"20703","2670011"
"20707","13"
"20744","292"
"20766","372"
"20787","260"
"20806","2446727"
"20828","311"
"20839","417"
"20845","187075"
"20859","15794"
"20871","1272350"
"20872","1897302"
"20874","2616"
"20903","333271"
"20904","290219"
"20948","147"
"20951","732290"
"20995","202562"
"21003","1924552"
"21005","10636"
"21067","156"
"21073","15333"
"21114","2301286"
"21137","2100584"
"21177","3838975"
"21205","1725"
"21225","565515"
"21237","24933"
"21247","24035"
"21269","298"
"21297","2125067"
"21301","1518335"
"21305","2864"
"21313","1940853"
"21375","10"
"21383","142727"
"21413","1714827"
"21420","9740"
"21523","83637"
"21534","77"
"22651","667"
"22671","895185"
"22703","10910"
"22752","96"
"22768","2743"
"22783","204"
"22795","2111091"
"22806","11526"
"22809","3660622"
"22865","792928"
"22903","2527834"
"22906","3811776"
"22925","3184838"
"22937","460"
"22953","6074"
"22972","236295"
"22985","20"
"22989","640"
"23007","652"
"23032","323"
"23039","67"
"23086","148"
"23097","2104037"
"23101","2050141"
"23133","344"
"23178","148"
"23191","6952"
"23235","2334"
"23294","637"
"23302","12372"
"23315","491"
"23322","3201295"
"23329","1728427"
"23334","1588869"
"23371","3895530"
"23382","3166"
"23433","317"
"23438","3615290"
"23452","3402154"
"23454","107059"
"23459","35847"
"23474","5"
"23507","5922"
"23519","266"
"23521","3400054"
"23592","512369"
"23598","630"
"23612","4060253"
"23627","2804031"
"23632","22"
"23664","774866"
"23673","459"
"23683","373246"
"23734","2289924"
"23778","3535338"
"23794","912985"
"23801","77927"
"23809","1350"
"23843","758"
"23850","169"
"23862","578"
"23914","185"
"24023","80"
"24044","2049114"
"24055","1926"
"24084","1015031"
"24112","1946"
"24130","1543555"
"24139","25"
"24164","37"
"24166","16497"
"24178","3782472"
"24227","29"
"24277","589385"
"24338","1714"
"24384","807832"
"24436","1277"
"24444","3306501"
"24518","534"
"24538","18"
"24543","859703"
"24567","1904276"
"24613","651"
"24647","37"
"24657","97"
"24662","845"
"24675","237681"
"24729","1034"
"24773","1191"
"24803","169"
"24832","1141670"
"24863","2014783"
"24908","2003127"
"24923","537"
"24947","161"
"24990","65"
"25001","521"
"25036","116858"
"25080","478452"
"25088","113755"
"25100","784"
"25132","198"
"25162","2990"
"25219","1806157"
"25260","155624"
"25282","546"
"25319","260687"
"25444","4118"
"25472","8309"
"25473","60420"
"25475","2721458"
"25490","3411"
"25491","1381"
"25494","1736548"
"25520","454"
"25530","44991"
"25578","3425"
"25635","186"
"25647","11762"
"25661","282"
"25689","2281"
"25769","571"
"25855","132"
"25874","1440980"
"25884","521"
"25894","2616141"
"25897","10775"
"25900","210"
"25915","157"
"25939","14"
"25941","4201"
"25958","11767"
