id,owner_user_id
"942421","72631"
"943312","116372"
"943841","62553"
"945584","164"
"959501","49048"
"960081","59877"
"960122","3415"
"969223",""
"974136","82819"
"985535","52420"
"990015","33264"
"994371","99135"
"997366","55093"
"1000192","57757"
"1001073","101823"
"1001448","123240"
"1003736","71933"
"1008514","105627"
"1019945","40516"
"1021413","126141"
"1021839","126208"
"1034760","127814"
"1035915","122603"
"1037240","21424"
"1037798","85095"
"1039244","76371"
"1041477","50394"
"1042917","52727"
"1043803","119819"
"1043928","119819"
"1044215","127863"
"1049005","33436"
"1051090","29"
"1051370","110800"
"1052145","125435"
"1052979","122603"
"1056073","87336"
"1056693","119501"
"1058462","85095"
"1059648",""
"1061235","87336"
"1063595",""
"1068649","20400"
"1080649","426911"
"1081026","117540"
"1083842","44555"
"1084032","125015"
"1085236","133055"
"1086950","106971"
"1089296","31760"
"1097781","127453"
"1099437","117330"
"1102359",""
"1106166","117238"
"1111408","39036"
"1113982","19825"
"1115739",""
"1116308","22471"
"1117263","87507"
"1117685","136733"
"1117983","136733"
"1119587",""
"1120337","40691"
"1124657",""
"1128458","127853"
"1131332",""
"1132561","255"
"1136844",""
"1139687","24950"
"1140487","1644"
"1145762","54790"
"1146715","137849"
"1147355","107612"
"1147387","15537"
"1150209",""
"1153364","20842"
"1153569","46011"
"1164188","84998"
"1165233","116710"
"1172476","11289"
"1173241","143820"
"1177065","122951"
"1178538","144333"
"1179750","108031"
"1186164","97113"
"1190568","84612"
"1192999","137967"
"1194606","136825"
"1198990","137466"
"1205430","61158"
"1214595","118513"
"1214974","118513"
"1218830","12597"
"1224042","44084"
"1234431","51130"
"1236679","129864"
"1236789","148303"
"1240546",""
"1249182","86537"
"1250050","140765"
"1250666",""
"1252367","121476"
"1254148","2372835"
"1258201","134046"
"1258550","56555"
"1259015","88495"
"1263599",""
"1266367","135844"
"1267173","53420"
"1269801","29482"
"1270284","95267"
"1270913","11956"
"1272523","138374"
"1276579",""
"1279722","156668"
"1280574","156775"
"1281549","16883"
"1288912","153112"
"1289855","144800"
"1299466","159209"
"1299809","11441"
"1306896","16266"
"1307820","136196"
"1310023","148195"
"1310178","160538"
"1311592","63235"
"1317123","156678"
"1317598","157629"
"1321328","83905"
"1326361","119014"
"1326617",""
"1329535","140765"
"1330416","140765"
"1332423","146852"
"1334299","163342"
"1335143","139038"
