id,owner_user_id
"485023","55176"
"487566",""
"488797","59876"
"490851","60103"
"493531",""
"496873","50754"
"497156","2915"
"498234","17172"
"504323","25300"
"506939","61906"
"511907","55351"
"512174","4280"
"518313","3539"
"526576",""
"526655","62572"
"527973","60103"
"528303","32043"
"540738","65479"
"540915","44649"
"544239","54408"
"545573","19803"
"546242","39980"
"546701","6688"
"546998","26527"
"551480","66522"
"553708","17035"
"554156","30741"
"554650","56018"
"559483","45209"
"565871","68461"
"567155","66722"
"568995","31677"
"570160","39709"
"571866","60628"
"574159","69467"
"579130","60862"
"579322",""
"585358","4464"
"585891",""
"587301","38892"
"593238","52749"
"594443","13447"
"595516",""
"597277","4833"
"597353","55327"
"599048","14731"
"600329","14731"
"601300",""
"602625","71904"
"604924",""
"606099","1585"
"606158","65526"
"613680","31671"
"613962",""
"616545","74428"
"616980","3635"
"617714","40521"
"619991",""
"623299","39655"
"624386","169"
"625542",""
"626477","75654"
"627918","14673"
"628021","75810"
"628386","22294"
"629559","1781"
"631661","64238"
"633109","48654"
"633245",""
"636912","42139"
"638057","1897"
"638090","19501"
"641462","67476"
"642015","2892"
"642327","76605"
"648307","32775"
"648396","20685"
"648464","12828"
"650979",""
"651713","20126"
"652683","56555"
"652818","65400"
"653396","76465"
"660020","59526"
"664722","21475"
"667147","39268"
"671527","18095"
"671704","52551"
"672810","44080"
"674247",""
"677444","47775"
"678400","2238"
"678471","54822"
"681583","54009"
"687787","54645"
"688619","83473"
"689369","42106"
"692443","83952"
"693958","71964"
"694057","38146"
"694363","58521"
"696307","52817"
"697553","21005"
"698700","4883"
"702100","18309"
"703757","82165"
"705533","37759"
"707266","2372835"
"707587","33226"
"712339","802"
"713611","81514"
"714704","54408"
"715096","85839"
"715348","22452"
"718611","63051"
"721212","39590"
"721772","72583"
"725142","7205"
"725875","88112"
"726580","88195"
"726662","79631"
"733564","86080"
"734611","24950"
"742200","84349"
"743649","6486"
"744192","30198"
"745249","70430"
"747394",""
"752859","20875"
"757318","72113"
"758002","90575"
"759069","30246"
"762795",""
"763292","39153"
"764565","85095"
"768442","89771"
"770900","77546"
"771069",""
"772596","356"
"778334","14006"
"780214","69952"
"782488","80222"
"786656","20498"
"793074","80363"
"794232",""
"794466","92735"
"795553","1343"
"797626","676066"
"800685","17174"
"802459","82717"
"804969","98123"
"808581","65223"
"810402","22009"
"814139","14752"
"814679","99824"
"815220","91857"
"816224","64873"
"817905",""
"822247","83871"
"822638","17174"
"823821","13198"
"823914","101396"
"825638","96617"
"826974","39656"
"826981","62202"
"827604","10472"
"828207","52752"
"828400","101823"
"830472","96692"
"830819","77413"
"831968","230"
"832483",""
"834061","8446"
"834918","3314"
"837248","38403"
"841152",""
"841957","101823"
"845881","1129162"
"846402","56224"
"847139","23368"
"847306","47322"
"853338","93399"
"855394",""
"857936","104622"
"858773",""
"859589","28144"
"860954","25645"
"861781","325418"
"862169","72420"
"862187","23671"
"865837","814"
"869072","82098"
"869089","98401"
"869266","90475"
"869361","98401"
"870017",""
"872929",""
"873562","85095"
"877338","63235"
"877727","26004"
"880188","889"
"884000","13227"
"884209","29653"
"886201",""
"892356","29860"
"893348","6160"
"893658","67706"
"894037","62539"
"901214","41887"
"901946","66713"
"902997","44533"
"903432",""
"904442",""
"909979",""
"910708",""
"912761","80572"
"912850","94146"
"913937","110856"
"915790","98726"
"918654","15000"
"923689",""
"925703","432226"
"925890","110473"
"926142","54420"
"926779","15985"
"926956","27009"
"928830",""
"930742","85748"
"932640","115182"
"933756","114916"
"938978","85095"
"939159","67386"
"939747","112830"
"940287","18511"
"941279","4782"
"941594","19224"
"942400","95231"
"944033","110772"
"949569","23153"
"951334","66058"
"951386","12243"
"954556","4023"
"954628","94169"
"955130","59314"
"956993","2170954"
"957577","6812"
"961830","28388"
"962354","66519"
"965186","21918"
"970600","94893"
"975448","110549"
"978225","101031"
"979360","31671"
"984106","21918"
"988046","8061"
"992296","120163"
"993671","115305"
"994493","52360"
"999699","88412"
"1000002","102040"
"1002628",""
"1003847",""
"1005381","105533"
"1007066","796"
"1007191","2636656"
"1009474","26157"
"1013032",""
"1014593","77538"
"1024073","108007"
"1024730","108009"
"1027857","63235"
"1029118","18255"
"1029380","80907"
"1033766","33264"
"1038274","122238"
"1038986","65781"
"1042635",""
"1044121","115961"
"1048726","32242"
"1048777","47161"
"1050524","283055"
"1053919",""
"1055460","117014"
"1061634","25749"
"1062254","109826"
"1065000","91607"
"1067323","96828"
"1068190","37193"
"1070153","131828"
"1070486","571"
"1072224","1460641"
"1072497","33264"
"1072541","129753"
"1077840","10026"
"1078397","117218"
"1081025","42595"
"1081449","19493"
"1083898",""
"1085341","133400"
"1086918","283055"
"1088144","133782"
"1091665","130479"
"1095045","35690"
"1096151","128623"
"1096595","129308"
"1098452","100835"
"1099391","33584"
"1102429","11995"
"1109794","137575"
"1112841",""
"1113422","2037537"
"1116128","5146"
"1119656","86034"
"1120381","104998"
"1120575","120457"
"1122337","81179"
"1122902","111307"
"1129639","82457"
"1130966","11441"
"1134202","52551"
"1136468",""
"1139360",""
"1140828","132985"
"1141277","131456"
"1142933","113111"
"1144026","139916"
"1146396","8678"
"1148820","100020"
"1149118","126908"
"1154376","141425"
"1154628","102040"
"1157775","130015"
"1159729",""
"1161851","64238"
"1162491","128028"
"1163319",""
"1165040","20553"
"1165192",""
"1168731","73903"
"1172014","141080"
"1172891","125880"
"1175714","94893"
"1175828","103532"
"1188714","58088"
"1191112","15168"
"1198076","29823"
"1198900","74359"
"1200655","98694"
"1201247","89035"
"1205889","146128"
"1207071","144995"
"1210042","95944"
"1213246","83509"
"1215930","140970"
"1217065",""
"1218188","94189"
"1219663",""
"1220182","95183"
"1224021","314884"
"1224049","945"
"1226406","120898"
"1229828","111934"
"1230098","45849"
"1232665",""
"1235883","64257"
"1237563",""
"1237768","93399"
"1238082",""
"1239177","23234"
"1242529","105169"
"1242925","62163"
"1245387","80907"
"1245396","54964"
"1247373","54964"
"1247821","54964"
"1249902","39529"
"1255286","153207"
"1258117",""
"1265282","41012"
"1266605","98046"
"1266650","112571"
"1267998","141661"
"1269290","140753"
"1271787",""
"1276078","133293"
"1278066","127499"
"1282243","94950"
"1282949","87349"
"1283352","78181"
"1283476","106111"
"1285832","151316"
"1287965","57625"
"1288599","69032"
"1291584",""
"1294360","157939"
"1295319","157939"
"1295827","144800"
"1297501","109614"
"1299857","148897"
"1300944","6508"
"1301863","110976"
"1301991","267"
"1303305","3916"
"1304907","31722"
"1305326","142759"
"1306823",""
"1312292","160069"
"1314518","54964"
"1314521","93026"
"1315835","48486"
"1319956","39979"
"1320496","161822"
"1321508","139392"
"1324294","56564"
"1324512","1186"
"1325656","103753"
"1326001","30246"
"1327742","72583"
"1329354","52622"
"1332670","66522"
"1333577","28835"
"1335522","1186"
"1336555","163691"
"1336776","69346"
"1337865","163845"
"1345663","141175"
"1347728","56018"
"1349314","152737"
"1349474",""
"1350331","110432"
"1353375","4910"
