id,view_count
"15355","272"
"15585","4244"
"15638","4147"
"15797","648"
"15909","2772"
"15953","3307"
"15973","442"
"16023","726"
"16175","1266"
"16214","423"
"16264","627"
"16345","1058"
"16351","335"
"16449","29683"
"16537","1223"
"16581","1177"
"16612","77"
"16644","2589"
"16679","1133"
"16706","1069"
"16737","1618"
"16782","3634"
"16908","7341"
"16996","479"
"17054","853"
"17079","672"
"17127","1459"
"17210","6947"
"17273","3056"
"17276","4326"
"17318","2807"
"17364","3740"
"17487","856"
"17517","1800"
"17536","827"
"17633","1993"
"17638","1783"
"17971","8362"
"18047","281"
"18054","285"
"18066","441"
"18166","3915"
"18225","2748"
"18249","3730"
"18321","12027"
"18328","4510"
"18726","1307"
"18775","2292"
"18875","11636"
"18878","55237"
"18959","651"
"18974","1917"
"19156","297"
"19209","1056"
"19294","17427"
"19326","3247"
"19330","1695"
"19406","586"
"19623","2153"
"19638","24834"
"19910","1455"
"19915","825"
"19979","1064"
"19981","2048"
"19999","1933"
"20028","990"
"20159","757"
"20253","177"
"20343","227"
"20349","984"
"20381","121"
"20429","8479"
"20465","2740"
"20507","1018"
"20535","3025"
"20688","5480"
"20691","1865"
"20719","857"
"20778","1915"
"20786","813"
"20857","639"
"20928","1241"
"20939","595"
"20974","843"
"21057","14183"
"21088","926"
"21118","1472"
"21140","2851"
"21149","2378"
"21253","1707"
"21278","2079"
"21327","21939"
"21362","1562"
"21541","557"
"22564","1416"
"22808","1629"
"22828","2744"
"23140","248"
"23190","3133"
"23202","1352"
"23364","209"
"23482","2452"
"23493","1441"
"23564","2164"
"23621","106"
"23690","1707"
"23741","1095"
"23787","6695"
"23906","2633"
"23957","1602"
"24121","1189"
"24141","1110"
"24153","217"
"24163","4734"
"24195","20749"
"24209","421"
"24385","808"
"24400","2733"
"24410","53186"
"24420","1453"
"24482","3427"
"24592","1190"
"24697","11137"
"24751","384"
"24845","237"
"24847","275"
"24891","425"
"24935","398"
"25046","5168"
"25119","1664"
"25189","977"
"25419","162"
"25449","630"
"25557","7922"
"25667","2399"
"25798","12391"
"25966","1348"
"26287","2576"
"26394","865"
"26496","609"
"26551","402"
"26627","257"
"26690","22210"
"26739","417"
"27874","1253"
"29040","1742"
"29068","9119"
"29338","330"
"29517","2265"
"29642","7951"
"29742","3713"
"29749","879"
"29798","1163"
"30071","824"
"30082","6772"
"30091","4330"
"30140","1241"
"30191","27874"
"30280","6512"
"30352","2048"
"30432","1350"
"30560","10137"
"30584","1221"
"30630","936"
"30631","864"
"30680","4529"
"30719","128"
"30754","7245"
"30896","1914"
"30980","675"
"31076","1226"
"31168","6633"
"31201","152"
"31213","2929"
"31232","4149"
"31273","240"
"31286","426"
"31306","1114"
"31320","7566"
"31415","1864"
"31424","3640"
"31461","184"
"31566","4105"
"31659","145315"
"31748","2796"
"31755","2070"
"31828","346"
"31870","3677"
"31946","2467"
"31999","31726"
"32058","22834"
"32092","1992"
"32303","1209"
"32308","34701"
"32500","4262"
"32596","10562"
"32612","258"
"32758","169"
"32759","1070"
"32833","585"
"32862","1328"
"32879","1203"
"32928","51642"
"33009","1479"
"33017","3736"
"33062","158"
"33106","308"
"33135","369"
"33235","304"
"33270","866"
"33323","3381"
"33326","2211"
"33523","1458"
"33581","223"
"33613","226"
"33639","2582"
"33688","685"
"33741","10398"
"33873","470"
"33895","214"
"33925","943"
"34009","1061"
