id,view_count
"670791","4781"
"674724","3370"
"679270","137"
"685904","1965"
"686397","8389"
"687059","373"
"693270","13515"
"697336","8945"
"701580","3430"
"703856","4398"
"706367","1108"
"709145","493"
"712975","7647"
"714125","1410"
"720508","29590"
"728063","1120"
"728088","7347"
"730913","973"
"735894","17938"
"738846","915"
"739850","2575"
"742730","931"
"749911","2035"
"751957","2488"
"756908","1483"
"758743","146"
"761077","3315"
"765285","2735"
"767392","998"
"770555","962"
"789826","1762"
"795237","1689"
"797883","7284"
"798933","1491"
"801589","2665"
"801737","1100"
"803150","2033"
"803566","1783"
"812980","773"
"829105","4343"
"838540","29540"
"838824","7098"
"841984","6443"
"846460","3183"
"849549","88451"
"856358","2999"
"863948","3809"
"867660","4313"
"867928","466"
"871610","5646"
"879758","379"
"882884","332"
"884781","641"
"891913","20211"
"895600","270"
"897020","89301"
"898273","3234"
"901369","12915"
"902687","1436"
"904775","463"
"905118","1338"
"914199","1967"
"918180","10911"
"919334","2105"
"920114","4198"
"935463","1914"
"935922","3156"
"937178","1662"
"939831","19806"
"942421","1169"
"943312","12588"
"943841","622"
"945584","4918"
"959501","5505"
"960081","1844"
"960122","3974"
"969223","739"
"974136","271"
"985535","265"
"990015","2554"
"994371","10260"
"997366","1650"
"1000192","290"
"1001073","1190"
"1001448","3510"
"1003736","5610"
"1008514","2598"
"1019945","1904"
"1021413","2110"
"1021839","659"
"1034760","484"
"1035915","1372"
"1037240","1335"
"1037798","871"
"1039244","427"
"1041477","3610"
"1042917","312"
"1043803","204"
"1043928","23913"
"1044215","2562"
"1049005","2421"
"1051090","4980"
"1051370","8005"
"1052145","15479"
"1052979","245"
"1056073","636"
"1056693","744"
"1058462","6884"
"1059648","2543"
"1061235","17386"
"1063595","449"
"1068649","3161"
"1080649","1481"
"1081026","889"
"1083842","1827"
"1084032","886"
"1085236","912"
"1086950","2261"
"1089296","7817"
"1097781","4216"
"1099437","1614"
"1102359","36433"
"1106166","30937"
"1111408","497"
"1113982","2401"
"1115739","5958"
"1116308","1983"
"1117263","4155"
"1117685","791"
"1117983","2686"
"1119587","233"
"1120337","1610"
"1124657","1183"
"1128458","7386"
"1131332","2725"
"1132561","4346"
"1136844","585"
"1139687","9495"
"1140487","150"
"1145762","407"
"1146715","2198"
"1147355","1857"
"1147387","17036"
"1150209","125"
"1153364","3359"
"1153569","1083"
"1164188","647"
"1165233","2028"
"1172476","3361"
"1173241","964"
"1177065","3281"
"1178538","17149"
"1179750","494"
"1186164","196"
"1190568","2337"
"1192999","2997"
"1194606","17738"
"1198990","1430"
"1205430","1191"
"1214595","1627"
"1214974","1097"
"1218830","2967"
"1224042","6454"
"1234431","866"
"1236679","1406"
"1236789","1011"
"1240546","2240"
"1249182","3685"
"1250050","5656"
"1250666","5851"
"1252367","57"
"1254148","98"
"1258201","2494"
"1258550","176457"
"1259015","539"
"1263599","974"
"1266367","3172"
"1267173","1518"
"1269801","4694"
"1270284","564"
"1270913","1875"
"1272523","855"
"1276579","1445"
"1279722","1010"
"1280574","2249"
"1281549","8360"
"1288912","754"
"1289855","240"
"1299466","212"
"1299809","1527"
"1306896","6706"
"1307820","1337"
"1310023","155"
"1310178","1538"
"1311592","822"
"1317123","2511"
"1317598","629"
"1321328","4947"
"1326361","151"
"1326617","168"
"1329535","6917"
"1330416","3362"
"1332423","465"
"1334299","295"
"1335143","721"
"1338645","389"
"1339293","18330"
"1341690","3682"
"1344795","179"
"1345755","1036"
"1352313","332"
"1352588","10366"
"1352980","10375"
"1354610","2131"
"1354958","12894"
"1359771","18769"
"1360900","557"
"1363452","812"
"1372869","319"
"1376035","557"
"1379564","3988"
"1381335","1589"
"1383756","2733"
"1384050","668"
"1385843","132712"
"1386684","1023"
"1390165","225"
"1392023","2006"
"1393080","1292"
"1396967","3345"
"1397221","2529"
"1404183","1410"
"1407942","539"
"1409858","351"
"1413320","517"
"1413662","383"
"1414072","1441"
"1414861","2117"
"1419169","14549"
"1423698","218"
"1426861","1769"
"1427478","4381"
"1429335","3122"
"1432463","4951"
"1434714","7896"
"1435415","153760"
"1436465","1953"
"1437200","4003"
"1437791","9393"
"1440810","1234"
"1443164","13427"
"1444731","630"
"1446629","134"
"1447499","3936"
"1449491","414"
"1452029","595"
"1454380","252"
"1454450","804"
"1456899","32819"
"1458099","2858"
"1459739","401407"
"1461604","290"
"1462649","39744"
"1463009","1799"
"1463175","2780"
"1469841","1255"
"1473510","5324"
"1474052","6627"
"1474101","174"
"1475442","454"
"1480278","1049"
"1480452","1996"
"1481183","999"
"1481382","2580"
"1487684","4533"
"1496121","1500"
"1498519","529"
"1502799","17517"
"1504899","439"
"1505489","4535"
"1518009","954"
"1520976","2199"
"1525177","407"
"1527301","2986"
"1530844","4282"
"1531637","1022"
"1533378","12114"
"1535326","448"
"1538958","546"
"1539983","927"
"1540063","535"
"1541476","221"
"1541817","9942"
"1542457","10162"
"1545530","1137"
"1547562","1719"
"1549949","2899"
"1551997","2309"
"1554526","6673"
"1558863","836"
"1560130","724"
"1566045","718"
"1570660","224"
"1579663","1007"
"1580419","821"
"1582161","105100"
"1583812","3075"
"1587540","360"
"1598928","6019"
"1598932","31010"
"1599756","2609"
"1602375","185"
"1607681","647"
"1608370","4113"
"1608522","1118"
"1611756","2871"
"1622370","1159"
"1624087","458"
"1625423","3843"
"1626069","931"
"1631940","223"
"1632183","658"
"1640582","392"
"1641231","18504"
"1650854","704"
"1651616","6203"
"1657037","458"
"1658328","578"
"1660765","3328"
"1662016","4119"
"1663498","3608"
"1663740","1655"
"1664567","4566"
"1668268","1262"
"1673036","279"
"1676593","350"
"1678373","61"
"1678543","229"
"1679725","404"
"1683649","218"
"1684975","523"
"1691528","2342"
"1692149","146"
"1694256","419"
"1696009","4084"
"1698933","421"
"1702602","599"
"1705727","3295"
"1705849","3189"
"1714841","8813"
"1718388","1863"
"1718658","943"
"1720014","1236"
"1721092","9842"
"1721112","147"
"1722453","1012"
"1726462","1438"
"1727673","1560"
"1731802","3044"
"1732991","938"
"1735344","983"
"1735349","994"
"1738779","288"
"1739875","1117"
"1743607","588"
"1743868","266"
"1745472","4961"
"1745875","3565"
"1746973","1440"
"1747235","14871"
"1751408","623"
"1751616","505"
"1751896","129"
"1752261","1068"
"1752998","15210"
"1753094","1320"
"1753790","290"
"1754415","3030"
"1758631","634"
"1765168","235"
"1765351","779"
"1765723","9697"
"1765733","15867"
"1766301","3032"
"1767790","1458"
"1768855","2538"
"1770890","515"
"1773079","5543"
"1779617","1951"
"1780628","868"
"1782309","1434"
"1785772","1475"
"1789298","2021"
"1791162","788"
"1795305","482"
"1796203","1167"
"1796410","2793"
"1800013","9150"
"1800423","678"
"1802540","288"
"1804416","1689"
"1805102","1045"
"1807864","214"
"1811796","3007"
"1812086","11865"
"1813283","2912"
"1816832","3004"
"1818861","806"
"1819122","1202"
"1822529","3253"
"1826566","2094"
"1828005","2676"
"1838215","375"
"1840090","724"
"1840624","319"
"1842738","1020"
"1845143","711"
"1847364","154"
"1849929","21482"
"1849972","9525"
"1850251","593"
"1851528","11907"
"1856430","1493"
"1858229","1071"
"1858978","1742"
"1862036","3185"
"1863124","2214"
"1865741","2720"
"1870976","3733"
"1871418","176"
"1871774","1770"
"1876076","3028"
"1878127","7226"
"1882266","1984"
"1883165","5758"
"1895326","3497"
"1899015","2402"
"1901091","964"
"1903193","1384"
"1911697","139"
"1911791","236"
"1912693","418"
"1914149","1061"
"1919852","832"
"1920854","1189"
"1922399","2636"
"1922815","1333"
"1925052","4080"
"1930571","2549"
"1931871","91"
"1933330","3104"
"1936694","2920"
"1938462","406"
"1938801","2099"
"1944602","4826"
"1947177","2045"
"1955675","905"
"1962825","418"
"1962959","2402"
"1984186","289442"
"1984784","1465"
"1988469","285"
"1989180","131"
"1999086","805"
