id,view_count
"7697","3453"
"7703","14803"
"7705","58376"
"7720","3023"
"7776","358"
"7802","651"
"7849","11998"
"7860","1064"
"7870","253"
"7911","15637"
"7920","85"
"7938","1754"
"7961","285"
"8033","438"
"8066","2528"
"8074","209"
"8099","5298"
"8113","118335"
"8155","318"
"8174","2344"
"8181","669"
"8201","1944"
"8303","6427"
"8310","1613"
"8427","1693"
"8445","2904"
"8446","4873"
"8456","3657"
"8573","766"
"8587","8268"
"8602","44657"
"8610","265"
"8621","1733"
"8663","182"
"8711","4796"
"8733","846"
"8744","19464"
"8749","3269"
"8757","1053"
"8761","42747"
"8785","246"
"8798","14238"
"8803","1482"
"8857","5304"
"8865","2634"
"8867","17538"
"8873","705"
"8895","1137"
"8896","2052"
"8945","3679"
"9095","1885"
"9096","10398"
"9106","996"
"9113","4013"
"9133","10450"
"9156","410"
"9230","3582"
"9237","4962"
"9263","6797"
"9272","637"
"9348","3938"
"9440","2619"
"9453","2456"
"9461","32355"
"9470","21619"
"9561","2848"
"9623","3937"
"9628","2302"
"9668","454"
"9682","3953"
"9763","1806"
"9781","1320"
"9810","564"
"9831","1277"
"9908","20565"
"9916","2018"
"9935","545"
"9945","6478"
"9967","975"
"9973","1164"
"9980","301"
"9981","213"
"10000","4835"
"10006","4909"
"10011","7659"
"10029","8259"
"10032","2278"
"10035","288"
"10071","24054"
"10106","2323"
"10109","4917"
"10156","4373"
"10201","264"
"10251","215"
"10270","264"
"10277","2018"
"10292","1880"
"10378","1279"
"10386","24261"
"10415","4079"
"10446","1617"
"10485","2318"
"10535","6979"
"10549","2763"
"10551","1565"
"10553","261"
"10554","912"
"10615","8043"
"10646","5700"
"10657","89"
"10691","5969"
"10694","319"
"10722","3395"
"10728","6539"
"10729","86871"
"10736","189"
"10825","9528"
"10838","21765"
"10847","193"
"10854","1555"
"10857","520"
"10866","868"
"10898","3171"
"10929","238"
"10974","2366"
"11066","278"
"11098","6638"
"11103","1095"
"11140","1131"
"11163","304"
"11170","438"
"11234","38036"
"11263","1260"
"11298","3276"
"11317","665"
"11355","1654"
"11363","18720"
"11369","225"
"11376","1655"
"11384","21920"
"11393","703"
"11397","3244"
"11398","157"
"11427","972"
"11444","107588"
"11447","982"
"11540","222"
"11555","2411"
"11606","4646"
"11621","3491"
"11623","172"
"11632","3067"
"11658","3845"
"11662","975"
"11737","9034"
"11756","9509"
"11768","3433"
"11788","7838"
"11794","3317"
"11810","2979"
"11840","16149"
"11842","1113"
"11860","4824"
"11868","10560"
"11893","2056"
"11911","3510"
"11917","348"
"11968","963"
"11972","444"
"11974","1285"
"11985","38632"
"11986","5041"
"11995","1817"
"12041","21171"
"12066","75336"
"12101","5360"
"12131","8818"
"12133","2201"
"12153","6976"
"12164","2251"
"12178","1265"
"12194","1597"
"12313","1797"
"12401","18255"
"12402","3340"
"12405","1004"
"12428","910"
"12434","185"
"12482","816"
"12512","1592"
"12546","7761"
"12555","6835"
"12568","12525"
"12593","2301"
"12596","92828"
"12624","11114"
"12684","545"
"12686","819"
"12699","412"
"12729","5198"
"12792","9063"
"12816","275"
"12836","952"
"12846","202"
"12857","6115"
"12896","21103"
"12899","1307"
"12933","2711"
"13039","9921"
"13059","723"
"13120","8929"
"13192","3814"
"13235","295"
"13243","418"
"13286","10121"
"13372","16871"
"13375","1931"
"13432","7355"
"13446","663"
"13464","5069"
"13496","240"
"13537","541"
"13543","2283"
"13570","5808"
"13618","3191"
"13639","357"
"13652","3123"
"13658","7233"
"13698","2189"
"13731","9543"
"13760","8174"
"13798","1919"
"13821","8401"
"13841","590"
"13862","3742"
"13863","220"
"13955","5465"
"13992","33787"
"14025","20218"
"14029","137"
"14038","5409"
"14046","30793"
"14102","260"
"14112","2050"
"14134","120"
"14142","228790"
"14152","2979"
"14215","2043"
"14216","2942"
"14222","6897"
"14249","165"
"14255","359"
"14256","791"
"14305","4714"
"14465","5433"
