id,view_count
"597353","298"
"599048","24303"
"600329","291"
"601300","36825"
"602625","969"
"604924","590"
"606099","7398"
"606158","1587"
"613680","819"
"613962","28148"
"616545","8338"
"616980","11855"
"617714","340"
"619991","2256"
"623299","4324"
"624386","3993"
"625542","4400"
"626477","4287"
"627918","2726"
"628021","3012"
"628386","1014"
"629559","410"
"631661","4419"
"633109","7732"
"633245","13269"
"636912","681"
"638057","1368"
"638090","15592"
"641462","35851"
"642015","2218"
"642327","4381"
"648307","516"
"648396","8597"
"648464","442"
"650979","845"
"651713","1429"
"652683","619"
"652818","643"
"653396","4320"
"660020","3656"
"664722","679"
"667147","3555"
"671527","859"
"671704","834"
"672810","6731"
"674247","3002"
"677444","3909"
"678400","12059"
"678471","356"
"681583","43315"
"687787","15224"
"688619","959"
"689369","901"
"692443","10835"
"693958","268"
"694057","341"
"694363","4010"
"696307","962"
"697553","104"
"698700","22374"
"702100","386"
"703757","1566"
"705533","98482"
"707266","911"
"707587","898"
"712339","10992"
"713611","148"
"714704","1834"
"715096","1141"
"715348","1478"
"718611","23928"
"721212","5121"
"721772","10022"
"725142","23666"
"725875","20342"
"726580","2454"
"726662","12079"
"733564","360"
"734611","1204"
"742200","8015"
"743649","15405"
"744192","1240"
"745249","365"
"747394","1677"
"752859","466"
"757318","721"
"758002","3185"
"759069","567"
"762795","492"
"763292","1487"
"764565","706"
"768442","8785"
"770900","10700"
"771069","4498"
"772596","5052"
"778334","441"
"780214","395"
"782488","454"
"786656","495"
"793074","440"
"794232","3575"
"794466","13582"
"795553","280"
"797626","3720"
"800685","69831"
"802459","460"
"804969","3328"
"808581","635"
"810402","14106"
"814139","170"
"814679","1359"
"815220","569"
"816224","1477"
"817905","2864"
"822247","3564"
"822638","3332"
"823821","1550"
"823914","3325"
"825638","7409"
"826974","2449"
"826981","4271"
"827604","685"
"828207","12215"
"828400","586"
"830472","1526"
"830819","2375"
"831968","1249"
"832483","2518"
"834061","697"
"834918","13839"
"837248","838"
"841152","9406"
"841957","2756"
"845881","292"
"846402","4327"
"847139","7990"
"847306","2125"
"853338","402"
"855394","4826"
"857936","486"
"858773","2911"
"859589","2371"
"860954","52690"
"861781","2767"
"862169","239"
"862187","4855"
"865837","2442"
"869072","6102"
"869089","3077"
"869266","2272"
"869361","14944"
"870017","240"
"872929","2992"
"873562","235"
"877338","654"
"877727","13882"
"880188","30808"
"884000","7226"
"884209","662"
"886201","190"
"892356","215"
"893348","1272"
"893658","594"
"894037","27530"
"901214","6775"
"901946","1495"
"902997","364"
"903432","2415"
"904442","1103"
"909979","860"
"910708","10777"
"912761","179"
"912850","2636"
"913937","816"
"915790","3792"
"918654","2333"
"923689","102"
"925703","1061"
"925890","183"
"926142","4103"
"926779","943"
"926956","174"
"928830","26684"
"930742","2602"
"932640","1560"
"933756","4083"
"938978","434"
"939159","15396"
"939747","18737"
"940287","2631"
"941279","808"
"941594","190703"
"942400","1343"
"944033","10874"
"949569","29223"
"951334","481"
"951386","22524"
"954556","2847"
"954628","1408"
"955130","15695"
"956993","2826"
"957577","26727"
"961830","214"
"962354","441"
"965186","794"
"970600","1286"
"975448","3366"
"978225","6566"
"979360","578"
"984106","167"
"988046","4198"
"992296","533"
"993671","10580"
"994493","1557"
"999699","1452"
"1000002","72180"
"1002628","267"
"1003847","2296"
"1005381","922"
"1007066","972"
"1007191","539"
"1009474","619"
"1013032","33779"
"1014593","12473"
"1024073","3902"
"1024730","1635"
"1027857","1720"
"1029118","353"
"1029380","8585"
"1033766","193"
"1038274","368"
"1038986","684"
"1042635","186"
"1044121","87"
"1048726","1982"
"1048777","6918"
"1050524","520"
"1053919","6170"
"1055460","32427"
"1061634","11527"
"1062254","292"
"1065000","34769"
"1067323","11640"
"1068190","7782"
"1070153","15665"
"1070486","250"
"1072224","5637"
"1072497","578"
"1072541","9608"
"1077840","4059"
"1078397","547"
"1081025","230"
"1081449","271"
"1083898","7675"
"1085341","209"
"1086918","62761"
"1088144","2974"
"1091665","390"
"1095045","3539"
"1096151","1025"
"1096595","615"
"1098452","590"
"1099391","7475"
"1102429","737"
