,userid_so,accountid,userid_sse,topic,score,postid,user_id_type,source
158,247.0,0.0,72119.0,T11,1,191692,answer_owner_id,so
159,247.0,0.0,15654.0,T11,1,191692,answer_owner_id,so
160,247.0,0.0,108397.0,T11,1,191692,answer_owner_id,so
161,247.0,0.0,203666.0,T11,1,191692,answer_owner_id,so
162,247.0,0.0,147335.0,T11,1,191692,answer_owner_id,so
163,247.0,0.0,81530.0,T11,1,191692,answer_owner_id,so
164,247.0,0.0,93849.0,T11,1,191692,answer_owner_id,so
165,247.0,0.0,187435.0,T11,1,191692,answer_owner_id,so
166,247.0,0.0,133034.0,T11,1,191692,answer_owner_id,so
167,247.0,0.0,29201.0,T11,1,191692,answer_owner_id,so
168,247.0,0.0,136721.0,T11,1,191692,answer_owner_id,so
169,247.0,0.0,53086.0,T11,1,191692,answer_owner_id,so
170,247.0,0.0,176263.0,T11,1,191692,answer_owner_id,so
171,247.0,0.0,39573.0,T11,1,191692,answer_owner_id,so
172,247.0,0.0,103689.0,T11,1,191692,answer_owner_id,so
173,247.0,0.0,166297.0,T11,1,191692,answer_owner_id,so
174,247.0,0.0,54900.0,T11,1,191692,answer_owner_id,so
175,247.0,0.0,180371.0,T11,1,191692,answer_owner_id,so
176,247.0,0.0,84564.0,T11,1,191692,answer_owner_id,so
177,247.0,0.0,63962.0,T11,1,191692,answer_owner_id,so
178,247.0,0.0,58592.0,T11,1,191692,answer_owner_id,so
179,247.0,0.0,166514.0,T11,1,191692,answer_owner_id,so
180,247.0,0.0,84973.0,T11,1,191692,answer_owner_id,so
181,247.0,0.0,29299.0,T11,1,191692,answer_owner_id,so
182,247.0,0.0,4279.0,T11,1,191692,answer_owner_id,so
183,247.0,0.0,159165.0,T11,1,191692,answer_owner_id,so
184,247.0,0.0,68555.0,T11,1,191692,answer_owner_id,so
185,247.0,0.0,185779.0,T11,1,191692,answer_owner_id,so
186,247.0,0.0,27166.0,T11,1,191692,answer_owner_id,so
187,247.0,0.0,145780.0,T11,1,191692,answer_owner_id,so
188,247.0,0.0,137157.0,T11,1,191692,answer_owner_id,so
189,247.0,0.0,2590.0,T11,1,191692,answer_owner_id,so
190,247.0,0.0,16508.0,T11,1,191692,answer_owner_id,so
191,247.0,0.0,35834.0,T11,1,191692,answer_owner_id,so
192,247.0,0.0,51774.0,T11,1,191692,answer_owner_id,so
193,247.0,0.0,167294.0,T11,1,191692,answer_owner_id,so
194,247.0,0.0,50433.0,T11,1,191692,answer_owner_id,so
195,247.0,0.0,161657.0,T11,1,191692,answer_owner_id,so
196,247.0,0.0,222443.0,T11,1,191692,answer_owner_id,so
197,247.0,0.0,185177.0,T11,1,191692,answer_owner_id,so
198,247.0,0.0,42472.0,T11,1,191692,answer_owner_id,so
199,247.0,0.0,29920.0,T11,1,191692,answer_owner_id,so
200,247.0,0.0,1348.0,T11,1,191692,answer_owner_id,so
201,247.0,0.0,35082.0,T11,1,191692,answer_owner_id,so
202,247.0,0.0,397.0,T11,1,191692,answer_owner_id,so
203,247.0,0.0,42998.0,T11,1,191692,answer_owner_id,so
204,247.0,0.0,93784.0,T11,1,191692,answer_owner_id,so
205,247.0,0.0,94594.0,T11,1,191692,answer_owner_id,so
206,247.0,0.0,189594.0,T11,1,191692,answer_owner_id,so
207,247.0,0.0,161892.0,T11,1,191692,answer_owner_id,so
208,247.0,0.0,143107.0,T11,1,191692,answer_owner_id,so
209,247.0,0.0,51780.0,T11,1,191692,answer_owner_id,so
210,247.0,0.0,56642.0,T11,1,191692,answer_owner_id,so
